sample	bgc_class	abund
SRR12042300	NRPS-like	1.03985765124555
SRR12042300	T3PKS	1.05996409335727
SRR12042300	arylpolyene	1.02646592709984
SRR12042300	betalactone	1.21096018735363
SRR12042300	terpene	13.3371987279746
SRR12042301	arylpolyene	1.02824489795918
SRR12042301	betalactone	1.19076643755674
SRR12042301	terpene	8.62387338538816
SRR12042302	NRPS-like	1.06082755723587
SRR12042302	T3PKS	2.10347540320172
SRR12042302	hserlactone	1.08738148763562
SRR12042302	resorcinol	1.04122684724159
SRR12042302	terpene	20.8139234716317
SRR12042303	NRPS	1.01175767237943
SRR12042303	T3PKS	1.01892022174018
SRR12042303	arylpolyene	1.0297410776767
SRR12042303	terpene	4.35448169021984
SRR12042304	NRPS-like	1.02913043478261
SRR12042304	T3PKS	1.05661432365687
SRR12042304	terpene	10.7434424488474
SRR12042305	T1PKS	1.02714812862414
SRR12042305	arylpolyene	1.06017606096439
SRR12042305	betalactone	1.11394980782274
SRR12042305	nucleoside	1.04363219827137
SRR12042305	terpene	6.30785472906923
SRR12042306	nucleoside	1.05820833084324
SRR12042306	terpene	2.16593960327334
SRR12042307	NRPS-like	3.08565718721824
SRR12042307	terpene	6.18466618021501
SRR12042308	NRPS-like	3.11053135818664
SRR12042308	RiPP-like	1.02407108239095
SRR12042308	T1PKS	1.0197889182058
SRR12042308	terpene	7.21939648848928
SRR12042309	terpene	3.15274245142851
SRR12042310	betalactone	1.09520718381478
SRR12042310	terpene	2.07622593395139
SRR12042311	NRPS-like	3.06138299015993
SRR12042311	T3PKS	1.02400548696845
SRR12042311	arylpolyene	1.05740378343118
SRR12042311	betalactone	2.11056513348116
SRR12042311	terpene	9.43267931213731
SRR12042312	NRPS	1.02940241576605
SRR12042312	NRPS-like	1.03987708638871
SRR12042312	terpene	7.65378124379706
SRR12042313	NRPS-like	3.07818941793037
SRR12042313	betalactone	1.06427503736921
SRR12042313	terpene	7.47750725146902
SRR12042314	NRPS-like	2.0537433767808
SRR12042314	arylpolyene	1.03381424706943
SRR12042314	terpene	7.41113929685142
SRR12042315	NRPS-like	3.08328037150452
SRR12042315	arylpolyene	1.05063524212852
SRR12042315	betalactone	2.14844571786955
SRR12042315	terpene	6.26369706737576
SRR12042316	arylpolyene	2.10995402292
SRR12042316	betalactone	1.0930424828288
SRR12042316	resorcinol	1.04815781839281
SRR12042316	terpene	4.23605117614703
SRR12042317	arylpolyene	1.05752516010979
SRR12042317	betalactone	2.20582071066203
SRR12042317	terpene	3.15872027859956
SRR12042318	arylpolyene	1.06545223469604
SRR12042318	betalactone	1.1163012392755
SRR12042318	terpene	6.43244499139695
SRR12042319	arylpolyene	1.05180433039294
SRR12042319	betalactone	1.10590578455144
SRR12042319	terpene	7.33813275654029
SRR12042320	betalactone	1.08223180743008
