sample	bgc_class	abund
ERR2604071	betalactone	1.01401006711409
ERR2604071	phosphonate	1.04183496826313
ERR2604071	resorcinol	1.01119288561791
ERR2604071	terpene	4.11969119492286
ERR2604073	betalactone	3.18565274708853
ERR2604073	hserlactone	1.06897456071335
ERR2604073	phosphonate	1.05259071729958
ERR2604073	redox-cofactor	1.07977006857604
ERR2604073	terpene	7.43873731742168
ERR2604074	betalactone	1.10209003215434
ERR2604074	terpene	16.7415417374618
ERR2604075	betalactone	4.16435836876834
ERR2604075	hserlactone	1.10538937271236
ERR2604075	NRPS-like	2.03373289759348
ERR2604075	RiPP-like	4.06431593677283
ERR2604075	T3PKS	1.01031746031746
ERR2604075	terpene	16.6149158535225
ERR2604076	hserlactone	2.15372596977655
ERR2604076	redox-cofactor	1.07436123348018
ERR2604076	RiPP-like	1.07454729294972
ERR2604076	terpene	12.588119648393
ERR2604077	hserlactone	1.0787317961165
ERR2604077	redox-cofactor	1.05980650835532
ERR2604077	RiPP-like	1.06791489361702
ERR2604077	terpene	8.47237677704076
ERR2604078	betalactone	2.10711048793261
ERR2604078	hserlactone	1.04275755228505
ERR2604078	RiPP-like	1.05600379686758
ERR2604078	terpene	11.5188408049411
ERR2604079	betalactone	2.11167426239552
ERR2604079	hserlactone	2.11606173801924
ERR2604079	NRPS-like	1.01162790697674
ERR2604079	RiPP-like	1.07026476578411
ERR2604079	RRE-containing	1.08173941474579
ERR2604079	T3PKS	1.08044484984564
ERR2604079	terpene	21.0760398979287
ERR2604080	betalactone	3.18427446626446
ERR2604080	hserlactone	1.08043975182323
ERR2604080	T3PKS	1.06662792949835
ERR2604080	terpene	29.5603763415772
ERR2604081	arylpolyene	1.00926347760061
ERR2604081	betalactone	2.09648613389576
ERR2604081	hserlactone	3.20656210519525
ERR2604081	redox-cofactor	1.06358728254349
ERR2604081	T3PKS	1.05500502656901
ERR2604081	terpene	25.1212803528137
ERR2604082	hserlactone	1.05131128848347
ERR2604082	T3PKS	1.04907161803714
ERR2604082	terpene	9.54853430687062
ERR2604083	betalactone	2.11381650098169
ERR2604083	T1PKS	1.032983938791
ERR2604083	T3PKS	1.05206456312541
ERR2604083	terpene	10.3819807006903
ERR2604084	betalactone	1.06417112299465
ERR2604084	hglE-KS	1.04398554969732
