seq_id	function	taxonomy	novelty	gcf_id
ERR2604090__k119_185408	terpene	-_cellular organisms;d_Bacteria;-_Terrabacteria group;-_Cyanobacteriota/Melainabacteria group;p_Cyanobacteriota;c_Cyanophyceae;o_Synechococcales	1.10505376873434	541
ERR2604090__k119_153928	arylpolyene	-_cellular organisms;d_Bacteria	0.952125515265246	1026
ERR2604090__k119_123795	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae	0.986966759230745	241
ERR2604090__k119_131898	redox-cofactor	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	1.0320650538974	454
ERR2604090__k119_155472	redox-cofactor	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.12065717045078	454
ERR2604090__k119_52769	terpene	-_cellular organisms	1.26869265952904	391
ERR2604090__k119_148185	terpene	-_cellular organisms;d_Bacteria	1.14012573711592	391
ERR2604090__k119_84479	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota	1.25337218528236	97
ERR2604090__k119_203511	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae	1.01080835391387	241
ERR2604090__k119_195712	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae	1.13267605622217	334
ERR2604091__k119_88439	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota	1.14862363937518	334
ERR2604091__k119_163759	terpene	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae	1.14862363937518	334
ERR2604091__k119_82124	terpene	-_cellular organisms;d_Bacteria;-_Terrabacteria group;-_Cyanobacteriota/Melainabacteria group;p_Cyanobacteriota;c_Cyanophyceae;o_Synechococcales	1.18077845658949	391
ERR2604091__k119_138933	terpene	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae	1.04109207160847	241
ERR2604091__k119_119977	T1PKS	-_cellular organisms;d_Archaea;p_Euryarchaeota;-_Methanomada group;c_Methanococci;o_Methanococcales;f_Methanocaldococcaceae;g_Methanocaldococcus;s_Methanocaldococcus jannaschii;-_Methanocaldococcus jannaschii DSM 2661	0.773826672219416	931
ERR2604091__k119_169929	T1PKS	-_cellular organisms	0.858033936728284	1015
